,x
1,CD14 Mono
2,Memory B
3,CD14 Mono
4,CD14 Mono
5,CD14 Mono
6,CD14 Mono
7,cDC2
8,CD14 Mono
9,Prog_RBC
10,CD14 Mono
11,CD14 Mono
12,CD14 Mono
13,CD14 Mono
14,CD14 Mono
15,CD14 Mono
16,CD14 Mono
17,CD14 Mono
18,CD14 Mono
19,Prog_RBC
20,CD14 Mono
21,Memory B
22,NK
23,CD4 Naive
24,CD14 Mono
25,CD14 Mono
26,CD14 Mono
27,CD14 Mono
28,CD14 Mono
29,CD14 Mono
30,NK
31,CD14 Mono
32,CD14 Mono
33,CD14 Mono
34,CD14 Mono
35,CD14 Mono
36,cDC2
37,CD14 Mono
38,CD14 Mono
39,CD14 Mono
40,CD14 Mono
41,CD14 Mono
42,CD14 Mono
43,CD14 Mono
44,CD14 Mono
45,CD14 Mono
46,Prog_RBC
47,CD14 Mono
48,CD14 Mono
49,CD14 Mono
50,CD16 Mono
51,CD14 Mono
52,CD14 Mono
53,CD14 Mono
54,CD14 Mono
55,CD14 Mono
56,NK
57,CD4 Memory
58,CD14 Mono
59,CD14 Mono
60,CD14 Mono
61,CD14 Mono
62,CD14 Mono
63,CD14 Mono
64,CD14 Mono
65,CD14 Mono
66,CD14 Mono
67,CD14 Mono
68,CD14 Mono
69,CD14 Mono
70,pDC
71,CD14 Mono
72,Prog_RBC
73,cDC2
74,Prog_RBC
75,CD14 Mono
76,CD14 Mono
77,CD14 Mono
78,Prog_RBC
79,CD14 Mono
80,NK
81,CD14 Mono
82,CD14 Mono
83,CD14 Mono
84,NK
85,CD14 Mono
86,CD14 Mono
87,CD14 Mono
88,CD14 Mono
89,CD14 Mono
90,Prog_RBC
91,CD14 Mono
92,CD14 Mono
93,Prog_RBC
94,CD14 Mono
95,CD14 Mono
96,CD14 Mono
97,CD14 Mono
98,CD14 Mono
99,CD14 Mono
100,CD14 Mono
101,CD14 Mono
102,NK
103,CD4 Naive
104,Prog_RBC
105,CD14 Mono
106,CD14 Mono
107,CD8 Effector_2
108,CD14 Mono
109,CD14 Mono
110,CD14 Mono
111,Prog_RBC
112,CD16 Mono
113,cDC2
114,CD14 Mono
115,NK
116,Memory B
117,CD8 Memory_2
118,CD14 Mono
119,CD14 Mono
120,pDC
121,Prog_RBC
122,cDC2
123,CD14 Mono
124,CD14 Mono
125,pDC
126,CD16 Mono
127,NK
128,CD14 Mono
129,CD14 Mono
130,CD14 Mono
131,Prog_B 1
132,CD14 Mono
133,CD14 Mono
134,CD14 Mono
135,CD14 Mono
136,CD14 Mono
137,Prog_RBC
138,CD14 Mono
139,CD14 Mono
140,CD14 Mono
141,CD14 Mono
142,cDC2
143,Prog_B 1
144,CD14 Mono
145,Memory B
146,CD8 Memory_2
147,CD14 Mono
148,CD14 Mono
149,CD14 Mono
150,CD14 Mono
151,CD14 Mono
152,CD14 Mono
153,CD14 Mono
154,CD14 Mono
155,CD14 Mono
156,CD14 Mono
157,CD14 Mono
158,CD14 Mono
159,CD14 Mono
160,CD14 Mono
161,CD14 Mono
162,Prog_RBC
163,CD14 Mono
164,CD4 Memory
165,CD14 Mono
166,CD14 Mono
167,CD14 Mono
168,CD14 Mono
169,CD14 Mono
170,CD14 Mono
171,CD14 Mono
172,CD8 Naive
173,CD14 Mono
174,CD14 Mono
175,CD14 Mono
176,CD14 Mono
177,CD14 Mono
178,CD14 Mono
179,CD8 Memory_2
180,CD14 Mono
181,CD14 Mono
182,CD14 Mono
183,CD14 Mono
184,CD4 Naive
185,CD14 Mono
186,CD14 Mono
187,CD14 Mono
188,Memory B
189,CD8 Memory_1
190,CD14 Mono
191,CD14 Mono
192,CD14 Mono
193,CD14 Mono
194,CD14 Mono
195,CD14 Mono
196,CD14 Mono
197,CD14 Mono
198,CD14 Mono
199,CD14 Mono
200,CD14 Mono
201,Prog_RBC
202,CD14 Mono
203,CD14 Mono
204,CD8 Memory_2
205,CD14 Mono
206,Prog_RBC
207,CD14 Mono
208,CD14 Mono
209,CD14 Mono
210,Memory B
211,CD14 Mono
212,CD14 Mono
213,CD14 Mono
214,CD14 Mono
215,CD14 Mono
216,CD14 Mono
217,CD14 Mono
218,CD14 Mono
219,CD14 Mono
220,CD14 Mono
221,CD14 Mono
222,CD8 Naive
223,CD4 Memory
224,CD14 Mono
225,CD14 Mono
226,CD14 Mono
227,CD14 Mono
228,CD14 Mono
229,CD14 Mono
230,CD14 Mono
231,CD14 Mono
232,CD14 Mono
233,Prog_RBC
234,CD14 Mono
235,CD14 Mono
236,CD14 Mono
237,CD14 Mono
238,cDC2
239,CD14 Mono
240,CD14 Mono
241,CD14 Mono
242,CD14 Mono
243,CD14 Mono
244,CD14 Mono
245,CD14 Mono
246,CD14 Mono
247,CD14 Mono
248,CD14 Mono
249,Prog_RBC
250,NK
251,CD14 Mono
252,Prog_RBC
253,CD14 Mono
254,CD14 Mono
255,CD14 Mono
256,CD14 Mono
257,Prog_RBC
258,CD14 Mono
259,CD14 Mono
260,Memory B
261,Naive B
262,CD14 Mono
263,CD14 Mono
264,CD14 Mono
265,CD14 Mono
266,CD14 Mono
267,CD14 Mono
268,CD4 Memory
269,CD14 Mono
270,CD14 Mono
271,CD14 Mono
272,CD14 Mono
273,CD14 Mono
274,CD14 Mono
275,CD14 Mono
276,HSC
277,CD14 Mono
278,CD4 Memory
279,CD14 Mono
280,CD14 Mono
281,Naive B
282,CD14 Mono
283,CD14 Mono
284,CD14 Mono
285,NK
286,CD14 Mono
287,CD14 Mono
288,CD14 Mono
289,CD14 Mono
290,CD14 Mono
291,Prog_RBC
292,CD8 Naive
293,Plasmablast
294,CD4 Memory
295,CD14 Mono
296,CD14 Mono
297,CD14 Mono
298,CD14 Mono
299,Prog_RBC
300,CD14 Mono
301,CD14 Mono
302,CD14 Mono
303,cDC2
304,CD14 Mono
305,pDC
306,cDC2
307,CD14 Mono
308,cDC2
309,CD14 Mono
310,CD14 Mono
311,CD14 Mono
312,CD14 Mono
313,NK
314,NK
315,CD16 Mono
316,CD14 Mono
317,CD14 Mono
318,Prog_RBC
319,CD14 Mono
320,CD4 Naive
321,CD14 Mono
322,CD14 Mono
323,CD8 Naive
324,CD14 Mono
325,CD14 Mono
326,CD14 Mono
327,CD14 Mono
328,CD14 Mono
329,CD14 Mono
330,CD14 Mono
331,CD14 Mono
332,CD14 Mono
333,CD14 Mono
334,CD14 Mono
335,CD14 Mono
336,CD14 Mono
337,cDC2
338,CD14 Mono
339,CD14 Mono
340,CD14 Mono
341,CD14 Mono
342,CD14 Mono
343,CD14 Mono
344,CD4 Naive
345,CD14 Mono
346,CD14 Mono
347,CD14 Mono
348,CD14 Mono
349,CD14 Mono
350,CD14 Mono
351,CD14 Mono
352,CD14 Mono
353,CD14 Mono
354,CD14 Mono
355,Naive B
356,CD14 Mono
357,CD14 Mono
358,CD14 Mono
359,CD14 Mono
360,CD14 Mono
361,CD14 Mono
362,CD14 Mono
363,CD14 Mono
364,CD14 Mono
365,CD14 Mono
366,CD14 Mono
367,CD14 Mono
368,Naive B
369,CD14 Mono
370,CD14 Mono
371,CD14 Mono
372,CD14 Mono
373,CD14 Mono
374,CD14 Mono
375,CD14 Mono
376,CD14 Mono
377,CD14 Mono
378,CD4 Memory
379,CD14 Mono
380,CD14 Mono
381,CD14 Mono
382,CD8 Memory_2
383,CD14 Mono
384,CD14 Mono
385,CD14 Mono
386,CD14 Mono
387,CD14 Mono
388,CD14 Mono
389,CD16 Mono
390,CD14 Mono
391,CD14 Mono
392,CD14 Mono
393,CD14 Mono
394,Prog_RBC
395,CD14 Mono
396,CD14 Mono
397,CD4 Naive
398,CD14 Mono
399,Prog_RBC
400,CD14 Mono
401,CD16 Mono
402,CD14 Mono
403,CD14 Mono
404,CD14 Mono
405,CD14 Mono
406,CD14 Mono
407,CD14 Mono
408,CD14 Mono
409,CD14 Mono
410,CD14 Mono
411,CD14 Mono
412,CD14 Mono
413,CD14 Mono
414,CD14 Mono
415,CD14 Mono
416,CD14 Mono
417,CD14 Mono
418,CD14 Mono
419,CD14 Mono
420,CD14 Mono
421,CD14 Mono
422,CD14 Mono
423,CD14 Mono
424,CD14 Mono
425,CD14 Mono
426,CD14 Mono
427,CD14 Mono
428,CD14 Mono
429,CD14 Mono
430,CD14 Mono
431,CD14 Mono
432,CD14 Mono
433,CD14 Mono
434,CD14 Mono
435,CD14 Mono
436,CD14 Mono
437,CD14 Mono
438,CD14 Mono
439,CD14 Mono
440,Prog_RBC
441,CD14 Mono
442,CD14 Mono
443,CD14 Mono
444,CD14 Mono
445,CD14 Mono
446,CD14 Mono
447,CD14 Mono
448,CD14 Mono
449,CD14 Mono
450,CD14 Mono
451,CD14 Mono
452,CD14 Mono
453,CD14 Mono
454,CD14 Mono
455,CD14 Mono
456,CD14 Mono
457,CD14 Mono
458,CD14 Mono
459,CD14 Mono
460,CD14 Mono
461,CD14 Mono
462,CD4 Naive
463,CD14 Mono
464,CD14 Mono
465,CD14 Mono
466,CD14 Mono
467,CD14 Mono
468,CD14 Mono
469,CD14 Mono
470,CD14 Mono
471,CD14 Mono
472,CD14 Mono
473,CD14 Mono
474,CD14 Mono
475,CD14 Mono
476,CD14 Mono
477,CD14 Mono
478,CD14 Mono
479,CD14 Mono
480,CD14 Mono
481,CD14 Mono
482,CD14 Mono
483,CD14 Mono
484,CD14 Mono
485,CD14 Mono
486,CD14 Mono
487,CD14 Mono
488,CD14 Mono
489,CD14 Mono
490,CD8 Naive
491,CD14 Mono
492,CD14 Mono
493,CD8 Memory_2
494,CD14 Mono
495,CD14 Mono
496,CD14 Mono
497,CD14 Mono
498,CD14 Mono
499,CD14 Mono
500,CD14 Mono
501,CD14 Mono
502,CD14 Mono
503,CD14 Mono
504,CD14 Mono
505,CD14 Mono
506,Prog_RBC
507,CD14 Mono
508,CD14 Mono
509,CD14 Mono
510,CD14 Mono
511,CD14 Mono
512,CD14 Mono
513,CD14 Mono
514,CD14 Mono
515,CD14 Mono
516,CD14 Mono
517,CD14 Mono
518,CD14 Mono
519,CD14 Mono
520,CD14 Mono
521,CD14 Mono
522,CD14 Mono
523,Prog_RBC
524,CD14 Mono
525,CD14 Mono
526,CD14 Mono
527,Prog_RBC
528,CD14 Mono
529,CD14 Mono
530,CD14 Mono
531,CD14 Mono
532,CD14 Mono
533,CD14 Mono
534,CD14 Mono
535,CD14 Mono
536,CD14 Mono
537,CD14 Mono
538,CD14 Mono
539,CD14 Mono
540,CD14 Mono
541,CD16 Mono
542,CD14 Mono
543,CD14 Mono
544,Memory B
545,CD14 Mono
546,CD14 Mono
547,CD14 Mono
548,CD14 Mono
549,Prog_RBC
550,CD14 Mono
551,cDC2
552,CD14 Mono
553,CD14 Mono
554,CD14 Mono
555,CD14 Mono
556,CD14 Mono
557,CD14 Mono
558,CD14 Mono
559,LMPP
560,CD14 Mono
561,CD14 Mono
562,CD14 Mono
563,CD14 Mono
564,CD14 Mono
565,CD14 Mono
566,CD14 Mono
567,CD14 Mono
568,CD14 Mono
569,CD14 Mono
570,CD14 Mono
571,CD14 Mono
572,CD16 Mono
573,CD14 Mono
574,CD14 Mono
575,CD4 Memory
576,CD14 Mono
577,CD14 Mono
578,Prog_RBC
579,CD14 Mono
580,CD14 Mono
581,CD14 Mono
582,CD14 Mono
583,CD14 Mono
584,CD14 Mono
585,CD14 Mono
586,CD14 Mono
587,CD14 Mono
588,CD14 Mono
589,CD14 Mono
590,cDC2
591,CD16 Mono
592,CD14 Mono
593,CD14 Mono
594,CD14 Mono
595,CD14 Mono
596,CD14 Mono
597,CD14 Mono
598,CD8 Memory_2
599,NK
600,CD14 Mono
601,CD14 Mono
602,Memory B
603,CD14 Mono
604,Prog_RBC
605,Naive B
606,CD14 Mono
607,cDC2
608,Prog_RBC
609,Memory B
610,CD8 Memory_2
611,CD14 Mono
