"","x"
"1","CD4 T"
"2","CD8 T"
"3","CD4 T"
"4","CD4 T"
"5","CD4 T"
"6","B"
"7","CD4 T"
"8","DC"
"9","CD8 T"
"10","other T"
"11","CD4 T"
"12","CD4 T"
"13","CD8 T"
"14","CD8 T"
"15","CD4 T"
"16","CD4 T"
"17","CD4 T"
"18","CD4 T"
"19","CD4 T"
"20","other T"
"21","other T"
"22","CD8 T"
"23","CD4 T"
"24","other T"
"25","CD4 T"
"26","CD4 T"
"27","other T"
"28","CD8 T"
"29","CD4 T"
"30","CD4 T"
"31","CD8 T"
"32","CD4 T"
"33","CD4 T"
"34","CD4 T"
"35","CD4 T"
"36","CD8 T"
"37","CD4 T"
"38","CD8 T"
"39","CD4 T"
"40","CD8 T"
"41","CD4 T"
"42","CD4 T"
"43","CD8 T"
"44","CD4 T"
"45","CD4 T"
"46","CD4 T"
"47","other"
"48","other T"
"49","CD8 T"
"50","CD4 T"
"51","CD8 T"
"52","CD4 T"
"53","CD4 T"
"54","CD4 T"
"55","CD4 T"
"56","CD8 T"
"57","CD8 T"
"58","CD4 T"
"59","other T"
"60","CD8 T"
"61","CD4 T"
"62","CD8 T"
"63","CD4 T"
"64","CD8 T"
"65","CD4 T"
"66","other T"
"67","CD4 T"
"68","CD4 T"
"69","CD4 T"
"70","other T"
"71","other T"
"72","Mono"
"73","CD4 T"
"74","CD4 T"
"75","B"
"76","CD4 T"
"77","CD4 T"
"78","CD4 T"
"79","CD4 T"
"80","CD4 T"
"81","CD8 T"
"82","CD4 T"
"83","B"
"84","CD8 T"
"85","CD4 T"
"86","CD4 T"
"87","CD4 T"
"88","CD4 T"
"89","CD4 T"
"90","CD4 T"
"91","CD4 T"
"92","other"
"93","CD4 T"
"94","other T"
"95","CD4 T"
"96","CD4 T"
"97","CD4 T"
"98","CD4 T"
"99","CD4 T"
"100","other T"
"101","CD4 T"
"102","B"
"103","CD4 T"
"104","CD4 T"
"105","CD8 T"
"106","CD4 T"
"107","CD8 T"
"108","CD8 T"
"109","other T"
"110","CD4 T"
"111","CD4 T"
"112","other T"
"113","CD4 T"
"114","CD8 T"
"115","CD4 T"
"116","B"
"117","CD4 T"
"118","CD4 T"
"119","Mono"
"120","CD4 T"
"121","CD4 T"
"122","CD4 T"
"123","CD4 T"
"124","CD4 T"
"125","Mono"
"126","CD8 T"
"127","B"
"128","CD8 T"
"129","B"
"130","CD4 T"
"131","CD4 T"
"132","CD4 T"
"133","CD4 T"
"134","Mono"
"135","CD4 T"
"136","CD4 T"
"137","other T"
"138","CD4 T"
"139","CD4 T"
"140","CD4 T"
"141","CD4 T"
"142","CD8 T"
"143","CD8 T"
"144","CD8 T"
"145","CD4 T"
"146","CD4 T"
"147","CD4 T"
"148","CD4 T"
"149","CD4 T"
"150","CD8 T"
"151","CD4 T"
"152","CD4 T"
"153","CD4 T"
"154","CD4 T"
"155","CD4 T"
"156","CD4 T"
"157","CD4 T"
"158","CD4 T"
"159","B"
"160","CD4 T"
"161","CD4 T"
"162","CD8 T"
"163","CD4 T"
"164","CD4 T"
"165","CD4 T"
"166","CD4 T"
"167","CD4 T"
"168","B"
"169","CD4 T"
"170","CD4 T"
"171","CD4 T"
"172","CD4 T"
"173","CD4 T"
"174","CD4 T"
"175","CD4 T"
"176","CD4 T"
"177","CD8 T"
"178","CD8 T"
"179","CD8 T"
"180","CD4 T"
"181","CD4 T"
"182","CD4 T"
"183","CD4 T"
"184","other T"
"185","B"
"186","CD4 T"
"187","CD4 T"
"188","CD8 T"
"189","CD8 T"
"190","CD8 T"
"191","CD4 T"
"192","DC"
"193","CD4 T"
"194","B"
"195","CD4 T"
"196","B"
"197","CD4 T"
"198","other T"
"199","CD8 T"
"200","CD8 T"
"201","CD4 T"
"202","CD8 T"
"203","CD4 T"
"204","CD8 T"
"205","CD4 T"
"206","B"
"207","CD4 T"
"208","CD4 T"
"209","other T"
"210","other T"
"211","other T"
"212","CD8 T"
"213","B"
"214","CD4 T"
"215","CD4 T"
"216","CD8 T"
"217","CD4 T"
"218","other T"
"219","other T"
"220","CD4 T"
"221","CD4 T"
"222","CD8 T"
"223","CD4 T"
"224","other T"
"225","other T"
"226","CD8 T"
"227","CD4 T"
"228","CD4 T"
"229","other T"
"230","CD4 T"
"231","CD8 T"
"232","CD4 T"
"233","CD4 T"
"234","Mono"
"235","CD8 T"
"236","CD8 T"
"237","CD4 T"
"238","CD8 T"
"239","Mono"
"240","B"
"241","CD4 T"
"242","CD8 T"
"243","CD8 T"
"244","CD4 T"
"245","CD8 T"
"246","CD4 T"
"247","CD4 T"
"248","CD4 T"
"249","other T"
"250","CD8 T"
"251","CD4 T"
"252","CD4 T"
"253","B"
"254","B"
"255","CD8 T"
"256","B"
"257","CD8 T"
"258","CD4 T"
"259","CD4 T"
"260","CD4 T"
"261","CD4 T"
"262","CD8 T"
"263","other T"
"264","CD4 T"
"265","CD4 T"
"266","CD4 T"
"267","CD4 T"
"268","CD4 T"
"269","CD8 T"
"270","CD4 T"
"271","other T"
"272","B"
"273","CD4 T"
"274","other T"
"275","CD4 T"
"276","CD4 T"
"277","CD4 T"
"278","CD8 T"
"279","CD4 T"
"280","CD4 T"
"281","CD4 T"
"282","CD4 T"
"283","CD8 T"
"284","CD4 T"
"285","CD4 T"
"286","CD8 T"
"287","CD4 T"
"288","CD4 T"
"289","CD8 T"
"290","B"
"291","CD4 T"
"292","CD4 T"
"293","B"
"294","CD8 T"
"295","CD4 T"
"296","CD4 T"
"297","CD4 T"
"298","Mono"
"299","CD4 T"
"300","CD4 T"
"301","CD4 T"
"302","CD4 T"
"303","CD4 T"
"304","CD4 T"
"305","CD4 T"
"306","CD4 T"
"307","DC"
"308","CD4 T"
"309","CD4 T"
"310","CD4 T"
"311","CD4 T"
"312","CD4 T"
"313","B"
"314","other T"
"315","CD4 T"
"316","other T"
"317","CD4 T"
"318","CD4 T"
"319","CD8 T"
"320","CD4 T"
"321","CD4 T"
"322","CD4 T"
"323","CD4 T"
"324","CD4 T"
"325","CD8 T"
"326","CD4 T"
"327","CD4 T"
"328","B"
"329","other T"
"330","CD4 T"
"331","CD4 T"
"332","CD4 T"
"333","CD4 T"
"334","CD4 T"
"335","CD4 T"
"336","CD4 T"
"337","CD8 T"
"338","CD4 T"
"339","CD4 T"
"340","CD8 T"
"341","other T"
"342","CD4 T"
"343","B"
"344","CD4 T"
"345","CD4 T"
"346","other T"
"347","CD8 T"
"348","CD8 T"
"349","CD4 T"
"350","CD4 T"
"351","CD4 T"
"352","CD4 T"
"353","B"
"354","CD4 T"
"355","CD8 T"
"356","B"
"357","CD4 T"
"358","other T"
"359","CD4 T"
"360","CD4 T"
"361","CD4 T"
"362","CD8 T"
"363","CD4 T"
"364","other T"
"365","CD4 T"
"366","Mono"
