"","x"
"1","CD8 T"
"2","B"
"3","DC"
"4","CD8 T"
"5","other T"
"6","CD8 T"
"7","CD8 T"
"8","NK"
"9","other T"
"10","other T"
"11","CD8 T"
"12","other T"
"13","other T"
"14","CD8 T"
"15","CD8 T"
"16","CD8 T"
"17","CD8 T"
"18","CD8 T"
"19","CD8 T"
"20","NK"
"21","other"
"22","other T"
"23","CD8 T"
"24","CD8 T"
"25","CD8 T"
"26","CD8 T"
"27","other T"
"28","CD8 T"
"29","CD8 T"
"30","CD8 T"
"31","other T"
"32","other T"
"33","other T"
"34","Mono"
"35","NK"
"36","B"
"37","CD8 T"
"38","B"
"39","CD8 T"
"40","other"
"41","other T"
"42","other T"
"43","B"
"44","CD8 T"
"45","NK"
"46","CD8 T"
"47","CD8 T"
"48","other T"
"49","other T"
"50","CD8 T"
"51","B"
"52","Mono"
"53","Mono"
"54","CD8 T"
"55","B"
"56","CD8 T"
"57","B"
"58","NK"
"59","Mono"
"60","other T"
"61","CD8 T"
"62","CD8 T"
"63","CD8 T"
"64","CD8 T"
"65","B"
"66","CD8 T"
"67","B"
"68","CD8 T"
"69","CD8 T"
"70","CD8 T"
"71","NK"
"72","other T"
"73","B"
"74","CD8 T"
"75","CD8 T"
"76","CD8 T"
"77","DC"
"78","B"
"79","B"
"80","other T"
"81","CD8 T"
"82","CD8 T"
"83","CD8 T"
"84","CD8 T"
"85","NK"
"86","B"
"87","other T"
"88","other T"
"89","other T"
"90","CD8 T"
"91","B"
"92","CD8 T"
"93","other T"
"94","other T"
"95","CD8 T"
"96","other T"
"97","other T"
"98","CD8 T"
"99","other T"
"100","NK"
"101","CD8 T"
"102","Mono"
"103","CD8 T"
"104","CD8 T"
"105","CD8 T"
"106","Mono"
"107","B"
"108","CD8 T"
"109","CD8 T"
"110","NK"
"111","CD8 T"
"112","other T"
"113","CD8 T"
"114","B"
"115","B"
"116","CD8 T"
"117","B"
"118","CD8 T"
"119","CD8 T"
"120","other T"
"121","CD8 T"
"122","other T"
"123","B"
"124","other T"
"125","NK"
"126","CD8 T"
"127","CD8 T"
"128","CD8 T"
"129","NK"
"130","CD8 T"
"131","B"
"132","B"
"133","CD8 T"
"134","Mono"
"135","DC"
"136","B"
"137","other T"
"138","other T"
"139","CD8 T"
"140","CD8 T"
"141","B"
"142","other T"
"143","NK"
"144","CD8 T"
"145","CD8 T"
"146","other T"
"147","B"
"148","other T"
"149","CD8 T"
"150","CD8 T"
"151","B"
"152","CD8 T"
"153","B"
"154","NK"
"155","NK"
"156","other T"
"157","CD8 T"
"158","other T"
"159","Mono"
"160","NK"
"161","CD8 T"
"162","Mono"
"163","other"
"164","Mono"
"165","other T"
"166","other T"
"167","CD8 T"
"168","CD8 T"
"169","B"
"170","CD8 T"
"171","other T"
"172","CD8 T"
"173","B"
"174","other T"
"175","DC"
"176","B"
"177","CD8 T"
"178","other T"
"179","NK"
"180","CD8 T"
"181","other T"
"182","other T"
"183","other T"
"184","other T"
"185","B"
"186","other"
"187","B"
"188","CD8 T"
"189","other T"
"190","other T"
"191","other T"
"192","NK"
"193","B"
"194","CD8 T"
"195","NK"
"196","other T"
"197","Mono"
"198","CD8 T"
"199","CD8 T"
"200","CD8 T"
"201","CD8 T"
"202","CD8 T"
"203","B"
"204","CD8 T"
"205","B"
"206","B"
"207","other T"
"208","NK"
"209","DC"
"210","CD8 T"
"211","Mono"
"212","CD8 T"
"213","other T"
"214","B"
"215","B"
"216","B"
"217","CD8 T"
"218","NK"
"219","NK"
"220","other T"
"221","other T"
"222","other T"
"223","other T"
"224","other T"
"225","other T"
"226","CD8 T"
"227","CD8 T"
"228","NK"
"229","other T"
"230","other"
"231","CD8 T"
"232","CD8 T"
"233","Mono"
"234","CD8 T"
"235","other T"
"236","CD8 T"
"237","Mono"
"238","DC"
"239","other T"
"240","CD8 T"
"241","other T"
"242","other T"
"243","CD8 T"
"244","CD8 T"
"245","CD8 T"
"246","CD8 T"
"247","B"
"248","CD8 T"
"249","CD8 T"
"250","CD8 T"
"251","CD8 T"
"252","CD8 T"
"253","Mono"
"254","CD8 T"
"255","CD8 T"
"256","CD8 T"
"257","NK"
"258","Mono"
"259","CD8 T"
"260","CD8 T"
"261","CD8 T"
"262","B"
"263","other T"
"264","CD8 T"
"265","CD8 T"
"266","CD8 T"
"267","CD8 T"
"268","CD8 T"
"269","NK"
"270","CD8 T"
"271","CD8 T"
"272","DC"
"273","CD8 T"
"274","B"
"275","Mono"
"276","B"
"277","B"
"278","CD8 T"
"279","other T"
"280","CD8 T"
"281","B"
"282","CD8 T"
"283","CD8 T"
"284","NK"
"285","CD8 T"
"286","NK"
"287","CD8 T"
"288","CD8 T"
"289","CD8 T"
"290","CD8 T"
"291","CD8 T"
"292","other T"
"293","other T"
"294","DC"
"295","CD8 T"
"296","other T"
"297","NK"
"298","other T"
"299","CD8 T"
"300","CD8 T"
"301","CD8 T"
"302","CD8 T"
"303","CD8 T"
"304","CD8 T"
"305","B"
"306","CD8 T"
"307","other T"
"308","CD8 T"
"309","CD8 T"
"310","other T"
"311","CD8 T"
"312","CD8 T"
"313","B"
"314","NK"
"315","CD8 T"
"316","CD8 T"
"317","CD8 T"
"318","NK"
"319","other T"
"320","B"
"321","CD8 T"
"322","CD8 T"
"323","CD8 T"
"324","B"
"325","CD8 T"
"326","CD8 T"
"327","CD8 T"
"328","CD8 T"
"329","other T"
"330","CD8 T"
"331","CD8 T"
"332","other T"
"333","CD8 T"
"334","CD8 T"
"335","CD8 T"
"336","other T"
"337","CD8 T"
"338","CD8 T"
"339","other T"
"340","B"
"341","CD8 T"
"342","CD8 T"
"343","CD8 T"
"344","CD8 T"
"345","NK"
"346","CD8 T"
"347","CD8 T"
"348","CD8 T"
"349","B"
"350","CD8 T"
"351","CD8 T"
"352","NK"
"353","CD8 T"
"354","CD8 T"
"355","CD8 T"
"356","B"
"357","other T"
"358","NK"
"359","CD8 T"
"360","CD8 T"
"361","CD8 T"
"362","other T"
"363","B"
"364","other T"
"365","CD8 T"
"366","CD8 T"
"367","CD8 T"
"368","CD8 T"
"369","NK"
"370","NK"
"371","CD8 T"
"372","B"
"373","CD8 T"
"374","B"
"375","CD8 T"
"376","CD8 T"
"377","CD8 T"
"378","NK"
"379","CD8 T"
"380","other T"
"381","CD8 T"
"382","CD8 T"
"383","NK"
"384","B"
"385","B"
"386","B"
"387","CD8 T"
"388","B"
"389","other T"
"390","Mono"
"391","CD8 T"
"392","CD8 T"
"393","CD8 T"
"394","other T"
"395","CD8 T"
"396","other T"
