"","x"
"1","CD4 TCM"
"2","CD8 TEM"
"3","CD4 TCM"
"4","CD4 Naive"
"5","CD4 TCM"
"6","B intermediate"
"7","CD4 TCM"
"8","cDC2"
"9","CD8 Naive"
"10","MAIT"
"11","CD4 Naive"
"12","CD4 Naive"
"13","CD8 TEM"
"14","CD8 TEM"
"15","Treg"
"16","CD4 TCM"
"17","CD4 TCM"
"18","CD4 TCM"
"19","CD4 TCM"
"20","NK"
"21","MAIT"
"22","MAIT"
"23","CD8 TEM"
"24","CD4 Naive"
"25","MAIT"
"26","CD4 TEM"
"27","Treg"
"28","dnT"
"29","CD8 Naive"
"30","CD4 Naive"
"31","CD4 TCM"
"32","CD8 Naive"
"33","CD4 Naive"
"34","CD4 TCM"
"35","CD4 Naive"
"36","Treg"
"37","CD8 Naive"
"38","CD4 Naive"
"39","CD8 Naive"
"40","CD4 Naive"
"41","CD8 TEM"
"42","CD4 Naive"
"43","CD4 TCM"
"44","CD8 Naive"
"45","NK"
"46","Treg"
"47","Treg"
"48","CD4 TCM"
"49","HSPC"
"50","dnT"
"51","CD4 Naive"
"52","CD4 TCM"
"53","CD8 TEM"
"54","Treg"
"55","CD4 Naive"
"56","Treg"
"57","CD4 Naive"
"58","CD4 TCM"
"59","CD8 TEM"
"60","CD4 TCM"
"61","CD4 TCM"
"62","CD8 TEM"
"63","CD4 TCM"
"64","CD8 Naive"
"65","CD4 Naive"
"66","CD8 TEM"
"67","CD4 TCM"
"68","MAIT"
"69","CD4 Naive"
"70","CD4 Naive"
"71","CD4 Naive"
"72","MAIT"
"73","gdT"
"74","CD16 Mono"
"75","NK"
"76","CD4 TCM"
"77","CD4 Naive"
"78","B naive"
"79","CD4 TCM"
"80","CD4 Naive"
"81","CD4 Naive"
"82","CD8 TEM"
"83","CD4 TCM"
"84","CD8 TEM"
"85","CD4 Naive"
"86","B naive"
"87","CD8 Naive"
"88","CD4 Naive"
"89","CD4 TCM"
"90","CD4 Naive"
"91","CD4 Naive"
"92","CD4 Naive"
"93","dnT"
"94","CD4 TCM"
"95","HSPC"
"96","CD4 Naive"
"97","dnT"
"98","CD4 TEM"
"99","CD4 TCM"
"100","CD4 Naive"
"101","CD4 TCM"
"102","CD4 TCM"
"103","MAIT"
"104","CD4 TCM"
"105","Plasmablast"
"106","CD4 TCM"
"107","Treg"
"108","CD8 Naive"
"109","NK"
"110","CD4 TCM"
"111","CD8 TEM"
"112","CD8 TEM"
"113","dnT"
"114","CD4 Naive"
"115","CD4 Naive"
"116","dnT"
"117","CD4 Naive"
"118","CD8 Naive"
"119","CD4 Naive"
"120","B intermediate"
"121","CD4 TCM"
"122","CD4 TCM"
"123","CD16 Mono"
"124","Treg"
"125","CD4 TCM"
"126","CD4 Naive"
"127","CD4 TCM"
"128","CD4 TCM"
"129","CD16 Mono"
"130","CD8 TEM"
"131","B memory"
"132","CD8 TCM"
"133","B naive"
"134","CD4 TCM"
"135","CD4 Naive"
"136","CD4 Naive"
"137","CD4 Naive"
"138","NK"
"139","Platelet"
"140","CD4 TCM"
"141","CD4 Naive"
"142","gdT"
"143","Treg"
"144","CD4 Naive"
"145","CD4 TCM"
"146","CD4 Naive"
"147","CD8 Naive"
"148","CD8 TEM"
"149","CD8 Naive"
"150","CD4 Naive"
"151","CD4 Naive"
"152","CD4 TEM"
"153","CD4 Naive"
"154","Treg"
"155","CD8 TEM"
"156","CD4 Naive"
"157","CD4 Naive"
"158","CD4 Naive"
"159","CD4 TCM"
"160","CD4 Naive"
"161","CD4 Naive"
"162","CD4 Naive"
"163","CD4 Naive"
"164","B memory"
"165","CD4 TCM"
"166","CD4 Naive"
"167","CD8 Naive"
"168","CD4 TCM"
"169","CD4 Naive"
"170","Treg"
"171","CD4 Naive"
"172","CD4 TCM"
"173","B intermediate"
"174","CD4 TCM"
"175","CD4 TCM"
"176","dnT"
"177","CD4 TCM"
"178","CD4 TCM"
"179","CD4 Naive"
"180","CD4 Naive"
"181","CD4 Naive"
"182","CD8 TEM"
"183","CD8 Naive"
"184","CD8 TEM"
"185","NK"
"186","CD4 Naive"
"187","CD4 TEM"
"188","CD4 Naive"
"189","CD4 Naive"
"190","MAIT"
"191","B intermediate"
"192","Treg"
"193","CD4 Naive"
"194","CD8 TEM"
"195","CD8 TEM"
"196","CD8 TEM"
"197","CD4 TCM"
"198","cDC2"
"199","CD4 TCM"
"200","B intermediate"
"201","CD4 TCM"
"202","B naive"
"203","CD4 TCM"
"204","MAIT"
"205","CD8 TEM"
"206","CD8 TEM"
"207","CD4 TCM"
"208","CD8 TEM"
"209","CD4 Naive"
"210","CD8 TEM"
"211","CD4 TCM"
"212","NK"
"213","B naive"
"214","CD4 Naive"
