"","x"
"1","CD4 T"
"2","CD8 T"
"3","CD8 T"
"4","CD4 T"
"5","CD8 T"
"6","CD4 T"
"7","CD4 T"
"8","CD8 T"
"9","CD4 T"
"10","CD4 T"
"11","CD4 T"
"12","CD8 T"
"13","CD4 T"
"14","CD8 T"
"15","NK"
"16","CD4 T"
"17","CD4 T"
"18","CD8 T"
"19","CD8 T"
"20","CD4 T"
"21","CD8 T"
"22","CD4 T"
"23","CD4 T"
"24","CD4 T"
"25","CD4 T"
"26","CD4 T"
"27","CD4 T"
"28","CD4 T"
"29","NK"
"30","CD4 T"
"31","CD4 T"
"32","NK"
"33","CD4 T"
"34","CD4 T"
"35","other T"
"36","CD4 T"
"37","CD4 T"
"38","CD4 T"
"39","other T"
"40","CD4 T"
"41","CD4 T"
"42","other T"
"43","CD4 T"
"44","CD4 T"
"45","CD4 T"
"46","CD4 T"
"47","CD4 T"
"48","CD4 T"
"49","CD4 T"
"50","CD4 T"
"51","CD8 T"
"52","CD4 T"
"53","CD4 T"
"54","CD8 T"
"55","CD4 T"
"56","CD4 T"
"57","CD4 T"
"58","NK"
"59","CD4 T"
"60","CD8 T"
"61","CD4 T"
"62","CD4 T"
"63","CD4 T"
"64","CD4 T"
"65","CD4 T"
"66","CD4 T"
"67","other T"
"68","CD4 T"
"69","CD4 T"
"70","CD4 T"
"71","CD4 T"
"72","CD8 T"
"73","CD4 T"
"74","CD4 T"
"75","CD4 T"
"76","CD8 T"
"77","CD4 T"
"78","CD4 T"
"79","other T"
"80","CD4 T"
"81","CD8 T"
"82","CD4 T"
"83","CD4 T"
"84","CD4 T"
"85","CD4 T"
"86","CD4 T"
"87","CD4 T"
"88","CD4 T"
"89","CD4 T"
"90","CD4 T"
"91","CD4 T"
"92","CD4 T"
"93","CD4 T"
"94","CD8 T"
"95","CD4 T"
"96","NK"
"97","CD4 T"
"98","other T"
"99","CD4 T"
"100","CD8 T"
"101","NK"
"102","CD4 T"
"103","other"
"104","CD4 T"
"105","CD4 T"
"106","NK"
"107","CD4 T"
"108","CD4 T"
"109","CD4 T"
"110","Mono"
"111","CD8 T"
"112","NK"
"113","CD4 T"
"114","CD8 T"
"115","CD4 T"
"116","CD4 T"
"117","CD4 T"
"118","CD4 T"
"119","CD4 T"
"120","CD4 T"
"121","CD4 T"
"122","CD8 T"
"123","CD8 T"
"124","CD4 T"
"125","NK"
"126","CD8 T"
"127","CD8 T"
"128","CD4 T"
"129","CD4 T"
"130","CD4 T"
"131","CD4 T"
"132","CD4 T"
"133","DC"
"134","other T"
"135","CD4 T"
"136","Mono"
"137","CD4 T"
"138","other T"
"139","NK"
"140","CD4 T"
"141","CD8 T"
"142","CD4 T"
"143","CD4 T"
"144","CD4 T"
"145","CD8 T"
"146","other T"
"147","CD4 T"
"148","CD4 T"
"149","CD8 T"
"150","CD4 T"
"151","other T"
"152","CD4 T"
"153","NK"
"154","NK"
"155","CD4 T"
"156","CD8 T"
"157","CD8 T"
"158","CD4 T"
"159","NK"
"160","CD4 T"
"161","NK"
"162","CD8 T"
"163","CD4 T"
"164","CD8 T"
"165","CD8 T"
"166","CD4 T"
"167","CD4 T"
"168","CD4 T"
"169","CD4 T"
"170","CD4 T"
"171","other T"
"172","CD4 T"
"173","CD4 T"
"174","CD4 T"
"175","CD8 T"
"176","CD4 T"
"177","CD8 T"
"178","CD4 T"
"179","other T"
"180","CD4 T"
"181","CD4 T"
"182","CD4 T"
"183","CD4 T"
"184","CD8 T"
"185","CD4 T"
"186","CD8 T"
"187","CD8 T"
"188","other T"
"189","CD4 T"
"190","CD4 T"
"191","CD4 T"
"192","CD8 T"
"193","CD8 T"
"194","CD8 T"
"195","CD8 T"
"196","other T"
"197","NK"
"198","NK"
"199","CD4 T"
"200","CD4 T"
"201","CD4 T"
"202","CD4 T"
"203","CD4 T"
"204","CD4 T"
"205","CD4 T"
"206","other T"
"207","CD4 T"
"208","CD4 T"
"209","CD4 T"
"210","CD8 T"
"211","other T"
"212","CD4 T"
"213","CD8 T"
"214","CD4 T"
"215","other T"
"216","CD4 T"
"217","CD8 T"
"218","CD8 T"
"219","NK"
"220","CD4 T"
"221","CD4 T"
"222","CD4 T"
"223","CD4 T"
"224","CD8 T"
"225","CD4 T"
"226","CD4 T"
"227","Mono"
"228","other T"
"229","CD4 T"
"230","CD4 T"
"231","CD4 T"
"232","CD4 T"
"233","CD4 T"
"234","CD4 T"
"235","CD4 T"
"236","CD4 T"
"237","CD4 T"
"238","CD4 T"
"239","CD8 T"
"240","CD4 T"
"241","CD4 T"
"242","NK"
"243","CD4 T"
"244","CD4 T"
"245","CD4 T"
"246","CD4 T"
"247","CD4 T"
"248","CD4 T"
"249","CD4 T"
"250","CD4 T"
"251","CD4 T"
"252","CD8 T"
"253","CD4 T"
"254","CD4 T"
"255","CD4 T"
"256","CD4 T"
"257","CD4 T"
"258","CD4 T"
"259","CD4 T"
"260","Mono"
"261","CD4 T"
"262","CD4 T"
"263","CD4 T"
"264","CD4 T"
"265","CD4 T"
"266","CD8 T"
"267","CD4 T"
"268","CD4 T"
"269","CD4 T"
"270","CD4 T"
"271","DC"
"272","CD4 T"
"273","CD4 T"
"274","CD8 T"
"275","other T"
"276","CD4 T"
"277","CD4 T"
"278","other T"
"279","CD4 T"
"280","CD4 T"
"281","CD4 T"
"282","other T"
"283","CD4 T"
"284","CD8 T"
"285","CD4 T"
"286","CD8 T"
"287","CD8 T"
"288","CD4 T"
"289","other T"
"290","CD4 T"
"291","NK"
"292","CD4 T"
"293","CD4 T"
"294","CD4 T"
"295","CD4 T"
"296","other T"
"297","CD8 T"
"298","CD4 T"
"299","CD4 T"
"300","NK"
"301","CD4 T"
"302","CD4 T"
"303","CD4 T"
"304","other T"
"305","CD8 T"
"306","CD4 T"
"307","CD4 T"
"308","CD8 T"
"309","CD4 T"
"310","NK"
"311","CD8 T"
"312","CD4 T"
"313","CD4 T"
"314","CD8 T"
"315","CD8 T"
"316","CD8 T"
"317","CD4 T"
"318","CD4 T"
"319","other T"
"320","CD4 T"
"321","CD4 T"
"322","CD4 T"
"323","CD4 T"
"324","CD4 T"
"325","CD4 T"
"326","CD4 T"
"327","CD4 T"
"328","CD4 T"
"329","CD4 T"
"330","CD4 T"
"331","CD8 T"
"332","CD4 T"
"333","CD8 T"
"334","CD4 T"
"335","CD4 T"
"336","CD4 T"
"337","CD4 T"
"338","CD4 T"
"339","CD8 T"
"340","CD4 T"
"341","CD4 T"
"342","NK"
"343","CD4 T"
"344","CD4 T"
"345","CD4 T"
"346","CD4 T"
"347","CD4 T"
"348","CD4 T"
"349","CD4 T"
"350","CD4 T"
"351","CD4 T"
"352","CD4 T"
"353","NK"
"354","CD8 T"
"355","CD4 T"
"356","CD4 T"
"357","CD4 T"
"358","CD4 T"
