"","x"
"1","CD8 T"
"2","CD8 T"
"3","B"
"4","CD8 T"
"5","CD8 T"
"6","CD8 T"
"7","CD8 T"
"8","NK"
"9","B"
"10","CD8 T"
"11","CD8 T"
"12","CD8 T"
"13","NK"
"14","NK"
"15","other T"
"16","other T"
"17","B"
"18","other T"
"19","CD8 T"
"20","CD8 T"
"21","B"
"22","B"
"23","NK"
"24","CD8 T"
"25","other T"
"26","CD8 T"
"27","B"
"28","B"
"29","CD8 T"
"30","B"
"31","other T"
"32","CD8 T"
"33","CD8 T"
"34","NK"
"35","other T"
"36","CD8 T"
"37","NK"
"38","other"
"39","NK"
"40","Mono"
"41","CD8 T"
"42","NK"
"43","B"
"44","CD8 T"
"45","CD8 T"
"46","CD8 T"
"47","NK"
"48","CD8 T"
"49","CD8 T"
"50","B"
"51","DC"
"52","other T"
"53","Mono"
"54","other T"
"55","NK"
"56","CD8 T"
"57","B"
"58","CD8 T"
"59","other T"
"60","CD8 T"
"61","other T"
"62","NK"
"63","NK"
"64","B"
"65","CD8 T"
"66","CD8 T"
"67","NK"
"68","NK"
"69","CD8 T"
"70","CD8 T"
"71","CD8 T"
"72","other T"
"73","CD8 T"
"74","CD8 T"
"75","other T"
"76","CD8 T"
"77","CD8 T"
"78","CD8 T"
"79","other T"
"80","CD8 T"
"81","CD8 T"
"82","CD8 T"
"83","CD8 T"
"84","other T"
"85","NK"
"86","NK"
"87","other T"
"88","CD8 T"
"89","other T"
"90","CD8 T"
"91","other T"
"92","CD8 T"
"93","CD8 T"
"94","NK"
"95","B"
"96","CD8 T"
"97","B"
"98","B"
"99","B"
"100","Mono"
"101","other T"
"102","CD8 T"
"103","NK"
"104","CD8 T"
"105","Mono"
"106","B"
"107","B"
"108","CD8 T"
"109","DC"
"110","CD8 T"
"111","other T"
"112","other T"
"113","B"
"114","other T"
"115","CD8 T"
"116","CD8 T"
"117","CD8 T"
"118","other T"
"119","NK"
"120","other T"
"121","CD8 T"
"122","NK"
"123","other T"
"124","CD8 T"
"125","CD8 T"
"126","NK"
"127","CD8 T"
"128","CD8 T"
"129","CD8 T"
"130","CD8 T"
"131","other T"
"132","B"
"133","B"
"134","CD8 T"
"135","B"
"136","CD8 T"
"137","CD8 T"
"138","NK"
"139","NK"
"140","CD8 T"
"141","CD8 T"
"142","CD8 T"
"143","other T"
"144","CD8 T"
"145","CD8 T"
"146","other T"
"147","NK"
"148","other T"
"149","CD8 T"
"150","other T"
"151","other T"
"152","NK"
"153","CD8 T"
"154","other T"
"155","CD8 T"
"156","NK"
"157","CD8 T"
"158","B"
"159","other T"
"160","CD8 T"
"161","NK"
"162","NK"
"163","NK"
"164","B"
"165","CD8 T"
"166","other T"
"167","NK"
"168","other T"
"169","B"
"170","other T"
"171","CD8 T"
"172","NK"
"173","Mono"
"174","CD8 T"
"175","B"
"176","other T"
"177","NK"
"178","CD8 T"
"179","other T"
"180","other"
"181","B"
"182","other T"
"183","NK"
"184","CD8 T"
"185","CD8 T"
"186","NK"
"187","CD8 T"
"188","CD8 T"
"189","other"
"190","CD8 T"
"191","NK"
"192","B"
"193","CD8 T"
"194","other T"
"195","other"
"196","B"
"197","NK"
"198","other"
"199","CD8 T"
"200","CD8 T"
"201","CD8 T"
"202","CD8 T"
"203","other T"
"204","NK"
"205","other T"
"206","B"
"207","CD8 T"
"208","CD8 T"
"209","DC"
"210","CD8 T"
"211","CD8 T"
"212","CD8 T"
"213","DC"
"214","other"
"215","other T"
"216","CD8 T"
"217","CD8 T"
"218","CD8 T"
"219","CD8 T"
"220","CD8 T"
"221","CD8 T"
"222","Mono"
"223","CD8 T"
"224","other T"
"225","CD8 T"
"226","NK"
"227","CD8 T"
"228","CD8 T"
"229","other T"
"230","B"
"231","CD8 T"
