"","x"
"1","CD4 Naive"
"2","CD8 TEM"
"3","CD8 TEM"
"4","CD4 Naive"
"5","B intermediate"
"6","CD8 Naive"
"7","Treg"
"8","CD4 TCM"
"9","CD8 Naive"
"10","CD4 TCM"
"11","CD4 TCM"
"12","CD4 TCM"
"13","CD8 Naive"
"14","Treg"
"15","CD8 Naive"
"16","NK"
"17","B intermediate"
"18","CD4 TCM"
"19","CD4 TCM"
"20","CD8 Naive"
"21","CD8 TEM"
"22","CD4 Naive"
"23","CD8 TEM"
"24","CD4 TCM"
"25","Treg"
"26","CD4 TCM"
"27","CD4 TCM"
"28","CD4 Naive"
"29","CD4 TCM"
"30","CD4 TCM"
"31","NK"
"32","CD4 TCM"
"33","CD4 TCM"
"34","NK"
"35","CD4 TCM"
"36","Treg"
"37","MAIT"
"38","CD4 TCM"
"39","Treg"
"40","CD4 TCM"
"41","MAIT"
"42","CD4 Naive"
"43","B naive"
"44","Treg"
"45","MAIT"
"46","CD4 TCM"
"47","CD4 TCM"
"48","Treg"
"49","CD4 TCM"
"50","CD4 TCM"
"51","CD4 Naive"
"52","CD4 TCM"
"53","CD4 TCM"
"54","CD8 Naive"
"55","CD4 TCM"
"56","MAIT"
"57","CD8 TEM"
"58","Treg"
"59","B naive"
"60","B intermediate"
"61","CD4 Naive"
"62","CD4 TCM"
"63","NK"
"64","CD4 TCM"
"65","CD8 TEM"
"66","CD4 TCM"
"67","CD4 Naive"
"68","CD4 TCM"
"69","CD4 TCM"
"70","Treg"
"71","CD4 TCM"
"72","MAIT"
"73","CD4 TCM"
"74","CD4 TCM"
"75","CD4 TCM"
"76","CD4 TCM"
"77","CD8 TEM"
"78","B intermediate"
"79","B naive"
"80","CD4 Naive"
"81","Treg"
"82","Treg"
"83","CD8 Naive"
"84","CD4 Naive"
"85","CD4 TCM"
"86","B naive"
"87","MAIT"
"88","CD4 Naive"
"89","CD8 TEM"
"90","CD4 TCM"
"91","CD4 Naive"
"92","CD4 TCM"
"93","CD4 Naive"
"94","CD4 TCM"
"95","Treg"
"96","Treg"
"97","CD4 Naive"
"98","Treg"
"99","CD4 TCM"
"100","CD4 TCM"
"101","CD4 TCM"
"102","CD8 TEM"
"103","Treg"
"104","NK"
"105","CD4 Naive"
"106","MAIT"
"107","CD4 TCM"
"108","CD8 Naive"
"109","NK"
"110","CD4 TCM"
"111","ILC"
"112","CD4 TCM"
"113","CD4 TCM"
"114","NK"
"115","CD4 Naive"
"116","CD4 TCM"
"117","CD4 TCM"
"118","CD16 Mono"
"119","CD8 Naive"
"120","NK"
"121","CD4 TCM"
"122","B intermediate"
"123","CD8 TEM"
"124","CD4 Naive"
"125","Treg"
"126","CD4 TCM"
"127","CD4 TCM"
"128","CD4 Naive"
"129","CD4 Naive"
"130","Treg"
"131","CD8 Naive"
"132","CD8 Naive"
"133","Treg"
"134","NK"
"135","CD8 Naive"
"136","CD8 TEM"
"137","B intermediate"
"138","CD4 Naive"
"139","CD4 Naive"
"140","CD4 Naive"
"141","CD4 TCM"
"142","CD4 Naive"
"143","pDC"
"144","dnT"
"145","CD4 Naive"
"146","CD14 Mono"
"147","Treg"
"148","MAIT"
"149","NK Proliferating"
"150","CD4 TCM"
"151","CD8 Naive"
"152","CD4 Naive"
"153","CD4 TCM"
"154","CD4 TCM"
"155","B naive"
"156","CD8 TEM"
"157","MAIT"
"158","Treg"
"159","CD4 TCM"
"160","CD8 Naive"
"161","CD4 Naive"
"162","gdT"
"163","CD4 TCM"
"164","NK"
"165","NK"
"166","B naive"
"167","Treg"
"168","CD8 TEM"
"169","CD8 TEM"
"170","Treg"
"171","NK"
"172","CD4 TCM"
"173","NK"
"174","CD8 TEM"
"175","CD4 TCM"
"176","CD8 Naive"
"177","CD8 TEM"
"178","CD4 TCM"
"179","CD4 TCM"
"180","CD4 TCM"
"181","Treg"
"182","CD4 TCM"
"183","MAIT"
"184","CD4 TCM"
"185","CD4 Naive"
"186","CD4 TCM"
"187","CD8 TEM"
"188","CD4 TCM"
"189","CD8 Naive"
"190","CD4 TCM"
"191","dnT"
"192","CD4 TCM"
"193","CD4 TCM"
"194","CD4 Naive"
"195","CD4 TCM"
"196","CD8 TEM"
"197","CD4 Naive"
"198","CD8 Naive"
"199","CD8 Naive"
"200","MAIT"
"201","CD4 TCM"
"202","CD4 TCM"
"203","CD4 TCM"
"204","CD8 TEM"
"205","CD8 Naive"
"206","CD8 TEM"
"207","CD8 TEM"
"208","MAIT"
"209","NK"
"210","NK"
"211","CD4 Naive"
"212","CD4 Naive"
"213","CD4 Naive"
"214","CD4 Naive"
"215","CD8 TEM"
"216","CD4 TCM"
"217","CD4 Naive"
"218","MAIT"
"219","Treg"
"220","CD4 Naive"
"221","Treg"
"222","CD8 TEM"
"223","dnT"
"224","CD4 TCM"
"225","CD8 Naive"
"226","Treg"
"227","MAIT"
"228","CD4 TCM"
"229","CD8 Naive"
"230","CD8 TEM"
"231","NK"
"232","CD4 TCM"
"233","B intermediate"
"234","CD4 TCM"
"235","CD4 Naive"
"236","CD4 Proliferating"
"237","CD8 Naive"
"238","B intermediate"
"239","CD4 Naive"
"240","B intermediate"
"241","CD4 TCM"
"242","B intermediate"
"243","CD16 Mono"
"244","MAIT"
"245","CD4 TCM"
"246","CD4 Naive"
"247","CD4 TCM"
"248","Treg"
"249","CD4 TCM"
"250","CD4 Naive"
"251","CD4 TCM"
"252","CD4 TCM"
"253","CD4 Naive"
"254","CD4 TCM"
"255","CD8 TEM"
"256","Treg"
"257","Treg"
"258","NK"
"259","CD4 TCM"
"260","CD4 Naive"
"261","CD4 Naive"
"262","CD4 TCM"
"263","CD4 Naive"
"264","CD4 Naive"
"265","CD4 TCM"
"266","CD4 Naive"
"267","CD4 Naive"
"268","CD8 TEM"
"269","CD4 Naive"
"270","CD4 Naive"
"271","CD4 TCM"
"272","CD4 TCM"
"273","CD4 TCM"
"274","CD4 TCM"
"275","CD4 TCM"
"276","CD16 Mono"
"277","Treg"
"278","CD4 TCM"
"279","CD4 TCM"
