"","x"
"1","CD8 T"
"2","CD4 T"
"3","CD4 T"
"4","CD8 T"
"5","CD8 T"
"6","CD4 T"
"7","CD4 T"
"8","CD4 T"
"9","CD8 T"
"10","CD8 T"
"11","CD4 T"
"12","other"
"13","Mono"
"14","CD4 T"
"15","CD4 T"
"16","CD4 T"
"17","CD4 T"
"18","CD4 T"
"19","CD4 T"
"20","DC"
"21","CD4 T"
"22","CD4 T"
"23","CD4 T"
"24","CD4 T"
"25","CD4 T"
"26","other"
"27","CD8 T"
"28","CD4 T"
"29","CD4 T"
"30","CD4 T"
"31","CD8 T"
"32","CD4 T"
"33","CD4 T"
"34","CD4 T"
"35","CD8 T"
"36","CD8 T"
"37","CD4 T"
"38","CD4 T"
"39","B"
"40","other T"
"41","CD8 T"
"42","CD8 T"
"43","CD4 T"
"44","B"
"45","CD4 T"
"46","CD8 T"
"47","CD4 T"
"48","other T"
"49","CD4 T"
"50","CD4 T"
"51","CD4 T"
"52","CD4 T"
"53","CD4 T"
"54","CD4 T"
"55","CD8 T"
"56","CD8 T"
"57","CD4 T"
"58","CD8 T"
"59","CD4 T"
"60","CD8 T"
"61","CD8 T"
"62","CD4 T"
"63","CD8 T"
"64","CD4 T"
"65","CD4 T"
"66","CD8 T"
"67","CD8 T"
"68","CD4 T"
"69","CD4 T"
"70","other T"
"71","CD4 T"
"72","CD4 T"
"73","CD4 T"
"74","CD4 T"
"75","CD8 T"
"76","CD8 T"
"77","CD8 T"
"78","CD4 T"
"79","NK"
"80","B"
"81","CD8 T"
"82","CD4 T"
"83","CD8 T"
"84","CD4 T"
"85","CD4 T"
"86","CD8 T"
"87","CD8 T"
"88","B"
"89","CD4 T"
"90","CD4 T"
"91","CD4 T"
"92","CD8 T"
"93","CD4 T"
"94","CD4 T"
"95","CD4 T"
"96","CD4 T"
"97","NK"
"98","CD4 T"
"99","CD4 T"
"100","NK"
"101","CD4 T"
"102","Mono"
"103","B"
"104","CD4 T"
"105","CD4 T"
"106","CD4 T"
"107","NK"
"108","other"
"109","CD4 T"
"110","CD4 T"
"111","CD8 T"
"112","other T"
"113","CD8 T"
"114","NK"
"115","other T"
"116","CD4 T"
"117","B"
"118","CD4 T"
"119","CD8 T"
"120","Mono"
"121","B"
"122","CD4 T"
"123","DC"
"124","CD8 T"
"125","CD8 T"
"126","CD4 T"
"127","CD8 T"
"128","CD4 T"
"129","CD4 T"
"130","other T"
"131","other T"
"132","CD8 T"
"133","CD8 T"
"134","NK"
"135","CD8 T"
"136","CD4 T"
"137","CD4 T"
"138","CD4 T"
"139","CD4 T"
"140","CD4 T"
"141","B"
"142","CD4 T"
"143","CD4 T"
"144","CD4 T"
"145","CD4 T"
"146","CD4 T"
"147","other T"
"148","CD4 T"
"149","CD4 T"
"150","CD4 T"
"151","CD4 T"
"152","CD4 T"
"153","CD4 T"
"154","B"
"155","CD8 T"
"156","CD4 T"
"157","other"
"158","CD4 T"
"159","CD4 T"
"160","other T"
"161","CD4 T"
"162","CD4 T"
"163","CD4 T"
"164","NK"
"165","NK"
"166","CD4 T"
"167","CD8 T"
"168","CD4 T"
"169","CD8 T"
"170","CD4 T"
"171","CD4 T"
"172","CD4 T"
"173","CD4 T"
"174","CD4 T"
"175","CD4 T"
"176","CD4 T"
"177","CD8 T"
"178","CD4 T"
"179","CD4 T"
"180","B"
"181","CD4 T"
"182","CD4 T"
"183","CD4 T"
"184","CD4 T"
"185","CD4 T"
"186","DC"
"187","CD4 T"
"188","CD4 T"
"189","CD8 T"
"190","CD8 T"
"191","CD4 T"
