"","x"
"1","CD8 T"
"2","CD4 T"
"3","CD4 T"
"4","CD8 T"
"5","CD8 T"
"6","CD4 T"
"7","CD4 T"
"8","CD4 T"
"9","CD8 T"
"10","CD8 T"
"11","CD4 T"
"12","other"
"13","Mono"
"14","CD4 T"
"15","CD4 T"
"16","CD4 T"
"17","CD4 T"
"18","CD4 T"
"19","CD4 T"
"20","DC"
"21","CD4 T"
"22","CD4 T"
"23","CD4 T"
"24","CD4 T"
"25","CD4 T"
"26","other"
"27","CD8 T"
"28","CD4 T"
"29","CD4 T"
"30","CD4 T"
"31","CD8 T"
"32","CD4 T"
"33","CD4 T"
"34","CD4 T"
"35","CD8 T"
"36","CD8 T"
"37","CD4 T"
"38","CD4 T"
"39","B"
"40","CD8 T"
"41","CD8 T"
"42","CD4 T"
"43","B"
"44","CD4 T"
"45","CD8 T"
"46","CD4 T"
"47","CD4 T"
"48","CD4 T"
"49","CD4 T"
"50","CD4 T"
"51","CD4 T"
"52","CD4 T"
"53","CD8 T"
"54","CD8 T"
"55","CD4 T"
"56","CD8 T"
"57","CD4 T"
"58","CD8 T"
"59","CD8 T"
"60","CD4 T"
"61","CD8 T"
"62","CD4 T"
"63","CD4 T"
"64","CD8 T"
"65","CD8 T"
"66","CD4 T"
"67","CD4 T"
"68","CD4 T"
"69","CD4 T"
"70","CD4 T"
"71","CD4 T"
"72","CD8 T"
"73","CD8 T"
"74","CD8 T"
"75","CD4 T"
"76","NK"
"77","B"
"78","CD8 T"
"79","CD4 T"
"80","CD8 T"
"81","CD4 T"
"82","CD4 T"
"83","CD8 T"
"84","CD8 T"
"85","B"
"86","CD4 T"
"87","CD4 T"
"88","CD4 T"
"89","CD8 T"
"90","CD4 T"
"91","CD4 T"
"92","CD4 T"
"93","CD4 T"
"94","NK"
"95","CD4 T"
"96","CD4 T"
"97","NK"
"98","CD4 T"
"99","Mono"
"100","B"
"101","CD4 T"
"102","CD4 T"
"103","CD4 T"
"104","NK"
"105","other"
"106","CD4 T"
"107","CD4 T"
"108","CD8 T"
"109","CD8 T"
"110","NK"
"111","CD4 T"
"112","B"
"113","CD4 T"
"114","CD8 T"
"115","Mono"
"116","B"
"117","CD4 T"
"118","DC"
"119","CD8 T"
"120","CD8 T"
"121","CD4 T"
"122","CD8 T"
"123","CD4 T"
"124","CD4 T"
"125","CD8 T"
"126","CD8 T"
"127","NK"
"128","CD8 T"
"129","CD4 T"
"130","CD4 T"
"131","CD4 T"
"132","CD4 T"
"133","CD4 T"
"134","B"
"135","CD4 T"
"136","CD4 T"
"137","CD4 T"
"138","CD4 T"
"139","CD4 T"
"140","CD4 T"
"141","CD4 T"
"142","CD4 T"
"143","CD4 T"
"144","CD4 T"
"145","CD4 T"
"146","B"
"147","CD8 T"
"148","CD4 T"
"149","other"
"150","CD4 T"
"151","CD4 T"
"152","CD4 T"
"153","CD4 T"
"154","CD4 T"
"155","NK"
"156","NK"
"157","CD4 T"
"158","CD8 T"
"159","CD4 T"
"160","CD8 T"
"161","CD4 T"
"162","CD4 T"
"163","CD4 T"
"164","CD4 T"
"165","CD4 T"
"166","CD4 T"
"167","CD4 T"
"168","CD8 T"
"169","CD4 T"
"170","CD4 T"
"171","B"
"172","CD4 T"
"173","CD4 T"
"174","CD4 T"
"175","CD4 T"
"176","CD4 T"
"177","DC"
"178","CD4 T"
"179","CD4 T"
"180","CD8 T"
"181","CD8 T"
"182","CD4 T"
"183","CD4 T"
"184","CD4 T"
"185","CD8 T"
"186","NK"
"187","CD4 T"
"188","CD4 T"
"189","CD4 T"
