"","x"
"1","NK"
"2","CD4 T"
"3","NK"
"4","CD4 T"
"5","other T"
"6","CD8 T"
"7","NK"
"8","CD4 T"
"9","CD4 T"
"10","CD8 T"
"11","CD4 T"
"12","CD8 T"
"13","CD4 T"
"14","CD4 T"
"15","CD8 T"
"16","CD4 T"
"17","CD4 T"
"18","CD4 T"
"19","CD4 T"
"20","CD4 T"
"21","other T"
"22","CD8 T"
"23","NK"
"24","CD4 T"
"25","CD4 T"
"26","CD8 T"
"27","CD4 T"
"28","CD4 T"
"29","CD8 T"
"30","CD4 T"
"31","CD4 T"
"32","NK"
"33","CD4 T"
"34","CD4 T"
"35","CD4 T"
"36","CD4 T"
"37","CD4 T"
"38","CD4 T"
"39","CD4 T"
"40","CD4 T"
"41","CD4 T"
"42","CD4 T"
"43","other T"
"44","CD4 T"
"45","CD4 T"
"46","CD4 T"
"47","CD4 T"
"48","other T"
"49","B"
"50","CD8 T"
"51","other T"
"52","B"
"53","B"
"54","CD8 T"
"55","CD4 T"
"56","CD4 T"
"57","CD4 T"
"58","NK"
"59","CD4 T"
"60","CD8 T"
"61","CD8 T"
"62","other"
"63","DC"
"64","CD8 T"
"65","CD4 T"
"66","CD4 T"
"67","CD4 T"
"68","CD4 T"
"69","CD4 T"
"70","CD4 T"
"71","CD4 T"
"72","CD4 T"
"73","CD8 T"
"74","CD4 T"
"75","CD4 T"
"76","CD4 T"
"77","CD8 T"
"78","CD8 T"
"79","CD4 T"
"80","other"
"81","CD4 T"
"82","CD4 T"
"83","CD4 T"
"84","CD4 T"
"85","CD4 T"
"86","CD4 T"
"87","NK"
"88","CD8 T"
"89","CD4 T"
"90","CD4 T"
"91","CD8 T"
"92","CD8 T"
"93","other T"
"94","B"
"95","B"
"96","CD4 T"
"97","CD8 T"
"98","CD8 T"
"99","CD4 T"
"100","NK"
"101","CD4 T"
"102","CD4 T"
"103","other T"
"104","CD4 T"
"105","CD4 T"
"106","CD4 T"
"107","CD4 T"
"108","CD4 T"
"109","CD4 T"
"110","NK"
"111","CD4 T"
"112","CD4 T"
"113","CD4 T"
"114","NK"
"115","CD4 T"
"116","NK"
"117","other T"
"118","CD4 T"
"119","CD8 T"
"120","B"
"121","CD4 T"
"122","CD8 T"
"123","CD4 T"
"124","other T"
"125","NK"
"126","DC"
"127","CD4 T"
"128","CD4 T"
"129","NK"
"130","CD4 T"
"131","CD4 T"
"132","CD8 T"
"133","CD8 T"
"134","CD4 T"
"135","CD4 T"
"136","CD8 T"
"137","other T"
"138","NK"
"139","CD4 T"
"140","CD4 T"
"141","CD8 T"
"142","CD4 T"
"143","NK"
"144","CD4 T"
"145","CD4 T"
"146","CD4 T"
"147","CD4 T"
"148","CD4 T"
"149","CD4 T"
"150","other T"
"151","CD4 T"
"152","CD4 T"
"153","Mono"
"154","other T"
"155","CD4 T"
"156","CD4 T"
"157","CD4 T"
"158","CD4 T"
"159","other"
"160","CD4 T"
"161","CD8 T"
"162","CD4 T"
"163","CD4 T"
"164","CD8 T"
"165","CD4 T"
"166","DC"
"167","CD4 T"
"168","CD4 T"
"169","CD4 T"
"170","other T"
"171","other T"
"172","B"
"173","other T"
"174","CD4 T"
"175","CD4 T"
"176","CD4 T"
"177","NK"
"178","CD4 T"
"179","CD4 T"
"180","CD4 T"
"181","CD4 T"
"182","CD8 T"
"183","CD4 T"
"184","CD8 T"
"185","CD4 T"
"186","CD4 T"
"187","CD4 T"
"188","CD4 T"
"189","NK"
"190","CD8 T"
"191","CD4 T"
"192","CD8 T"
"193","NK"
"194","CD4 T"
"195","NK"
"196","CD4 T"
"197","Mono"
"198","CD4 T"
"199","CD4 T"
"200","CD4 T"
"201","CD4 T"
"202","CD8 T"
"203","CD4 T"
"204","CD8 T"
"205","CD8 T"
"206","CD4 T"
"207","CD4 T"
"208","other"
"209","CD4 T"
"210","CD4 T"
"211","CD4 T"
"212","CD4 T"
"213","CD4 T"
"214","CD4 T"
"215","CD8 T"
"216","other T"
"217","B"
"218","B"
"219","CD8 T"
"220","CD4 T"
"221","CD4 T"
"222","CD4 T"
"223","CD4 T"
"224","CD8 T"
"225","CD4 T"
"226","CD8 T"
"227","CD4 T"
"228","CD4 T"
"229","other T"
"230","CD4 T"
"231","CD8 T"
"232","CD4 T"
"233","B"
"234","B"
"235","CD8 T"
"236","CD4 T"
"237","other T"
"238","CD4 T"
"239","CD4 T"
"240","CD4 T"
"241","CD4 T"
"242","CD4 T"
"243","CD4 T"
"244","CD4 T"
"245","CD4 T"
"246","NK"
"247","B"
"248","CD4 T"
"249","CD4 T"
"250","CD4 T"
"251","CD4 T"
"252","B"
"253","DC"
"254","CD4 T"
"255","CD8 T"
"256","DC"
"257","CD4 T"
"258","NK"
"259","CD4 T"
"260","CD4 T"
"261","CD4 T"
"262","CD8 T"
"263","CD4 T"
"264","CD4 T"
"265","CD4 T"
"266","CD4 T"
"267","CD8 T"
"268","CD8 T"
"269","CD4 T"
"270","CD4 T"
"271","CD4 T"
"272","NK"
"273","CD4 T"
"274","CD4 T"
"275","CD8 T"
"276","CD4 T"
"277","CD4 T"
"278","CD4 T"
"279","CD4 T"
"280","CD4 T"
"281","CD4 T"
"282","CD4 T"
"283","CD4 T"
"284","CD4 T"
"285","CD8 T"
"286","CD8 T"
"287","CD4 T"
"288","CD4 T"
"289","CD4 T"
"290","CD4 T"
"291","CD8 T"
