"","x"
"1","NK"
"2","CD4 T"
"3","NK"
"4","CD4 T"
"5","other T"
"6","NK"
"7","CD4 T"
"8","CD4 T"
"9","CD4 T"
"10","CD4 T"
"11","CD4 T"
"12","CD4 T"
"13","CD4 T"
"14","CD4 T"
"15","CD4 T"
"16","CD4 T"
"17","other T"
"18","NK"
"19","CD4 T"
"20","CD4 T"
"21","CD4 T"
"22","CD4 T"
"23","CD4 T"
"24","CD4 T"
"25","NK"
"26","CD4 T"
"27","CD4 T"
"28","CD4 T"
"29","CD4 T"
"30","CD4 T"
"31","CD4 T"
"32","CD4 T"
"33","CD4 T"
"34","CD4 T"
"35","CD4 T"
"36","other T"
"37","CD4 T"
"38","CD4 T"
"39","CD4 T"
"40","CD4 T"
"41","other T"
"42","B"
"43","other T"
"44","B"
"45","B"
"46","CD4 T"
"47","CD4 T"
"48","CD4 T"
"49","NK"
"50","CD4 T"
"51","other"
"52","DC"
"53","CD4 T"
"54","CD4 T"
"55","CD4 T"
"56","CD4 T"
"57","CD4 T"
"58","CD4 T"
"59","CD4 T"
"60","CD4 T"
"61","CD4 T"
"62","CD4 T"
"63","CD4 T"
"64","CD4 T"
"65","other"
"66","CD4 T"
"67","CD4 T"
"68","CD4 T"
"69","CD4 T"
"70","CD4 T"
"71","CD4 T"
"72","NK"
"73","CD4 T"
"74","CD4 T"
"75","other T"
"76","B"
"77","B"
"78","CD4 T"
"79","CD4 T"
"80","NK"
"81","CD4 T"
"82","CD4 T"
"83","other T"
"84","CD4 T"
"85","CD4 T"
"86","CD4 T"
"87","CD4 T"
"88","CD4 T"
"89","CD4 T"
"90","NK"
"91","CD4 T"
"92","CD4 T"
"93","CD4 T"
"94","NK"
"95","CD4 T"
"96","NK"
"97","other T"
"98","CD4 T"
"99","B"
"100","CD4 T"
"101","CD4 T"
"102","other T"
"103","NK"
"104","DC"
"105","CD4 T"
"106","CD4 T"
"107","NK"
"108","CD4 T"
"109","CD4 T"
"110","CD4 T"
"111","CD4 T"
"112","other T"
"113","NK"
"114","CD4 T"
"115","CD4 T"
"116","CD4 T"
"117","NK"
"118","CD4 T"
"119","CD4 T"
"120","CD4 T"
"121","CD4 T"
"122","CD4 T"
"123","CD4 T"
"124","other T"
"125","CD4 T"
"126","CD4 T"
"127","Mono"
"128","other T"
"129","CD4 T"
"130","CD4 T"
"131","CD4 T"
"132","CD4 T"
"133","other"
"134","CD4 T"
"135","CD4 T"
"136","CD4 T"
"137","CD4 T"
"138","DC"
"139","CD4 T"
"140","CD4 T"
"141","CD4 T"
"142","other T"
"143","other T"
"144","B"
"145","other T"
"146","CD4 T"
"147","CD4 T"
"148","CD4 T"
"149","NK"
"150","CD4 T"
"151","CD4 T"
"152","CD4 T"
"153","CD4 T"
"154","CD4 T"
"155","CD4 T"
"156","CD4 T"
"157","CD4 T"
"158","CD4 T"
"159","NK"
"160","CD4 T"
"161","NK"
"162","CD4 T"
"163","NK"
"164","CD4 T"
"165","Mono"
"166","CD4 T"
"167","CD4 T"
"168","CD4 T"
"169","CD4 T"
"170","CD4 T"
"171","CD4 T"
"172","CD4 T"
"173","other"
"174","CD4 T"
"175","CD4 T"
"176","CD4 T"
"177","CD4 T"
"178","CD4 T"
"179","CD4 T"
"180","other T"
"181","B"
"182","B"
"183","CD4 T"
"184","CD4 T"
"185","CD4 T"
"186","CD4 T"
"187","CD4 T"
"188","CD4 T"
"189","CD4 T"
"190","other T"
"191","CD4 T"
"192","CD4 T"
"193","B"
"194","B"
"195","CD4 T"
"196","other T"
"197","CD4 T"
"198","CD4 T"
"199","CD4 T"
"200","CD4 T"
"201","CD4 T"
"202","CD4 T"
"203","CD4 T"
"204","CD4 T"
"205","NK"
"206","B"
"207","CD4 T"
"208","CD4 T"
"209","CD4 T"
"210","CD4 T"
"211","B"
"212","DC"
"213","CD4 T"
"214","DC"
"215","CD4 T"
"216","NK"
"217","CD4 T"
"218","CD4 T"
"219","CD4 T"
"220","CD4 T"
"221","CD4 T"
"222","CD4 T"
"223","CD4 T"
"224","CD4 T"
"225","CD4 T"
"226","CD4 T"
"227","NK"
"228","CD4 T"
"229","CD4 T"
"230","CD4 T"
"231","CD4 T"
"232","CD4 T"
"233","CD4 T"
"234","CD4 T"
"235","CD4 T"
"236","CD4 T"
"237","CD4 T"
"238","CD4 T"
"239","CD4 T"
"240","CD4 T"
"241","CD4 T"
"242","CD4 T"
"243","other T"
"244","CD4 T"
"245","CD4 T"
"246","other T"
"247","NK"
"248","CD4 T"
"249","CD4 T"
"250","CD4 T"
"251","other T"
"252","CD4 T"
"253","CD4 T"
"254","CD4 T"
"255","CD4 T"
"256","CD4 T"
"257","CD4 T"
"258","B"
"259","CD4 T"
"260","CD4 T"
"261","CD4 T"
"262","CD4 T"
"263","CD4 T"
"264","CD4 T"
"265","B"
"266","CD4 T"
"267","CD4 T"
"268","CD4 T"
"269","CD4 T"
"270","CD4 T"
"271","CD4 T"
"272","CD4 T"
"273","CD4 T"
"274","CD4 T"
"275","CD4 T"
"276","CD4 T"
"277","other T"
"278","CD4 T"
"279","CD4 T"
"280","CD4 T"
"281","CD4 T"
"282","DC"
"283","CD4 T"
"284","CD4 T"
"285","CD4 T"
"286","CD4 T"
"287","CD4 T"
"288","CD4 T"
"289","CD4 T"
"290","CD4 T"
"291","CD4 T"
"292","CD4 T"
"293","CD4 T"
