"","x"
"1","NK"
"2","CD4 T"
"3","NK"
"4","CD4 T"
"5","other T"
"6","CD8 T"
"7","NK"
"8","CD4 T"
"9","CD4 T"
"10","CD8 T"
"11","CD4 T"
"12","CD8 T"
"13","CD4 T"
"14","CD4 T"
"15","CD8 T"
"16","CD4 T"
"17","CD4 T"
"18","CD4 T"
"19","CD4 T"
"20","CD4 T"
"21","other T"
"22","CD8 T"
"23","NK"
"24","CD4 T"
"25","CD4 T"
"26","CD8 T"
"27","CD4 T"
"28","CD4 T"
"29","CD8 T"
"30","CD4 T"
"31","CD4 T"
"32","NK"
"33","CD4 T"
"34","CD4 T"
"35","CD4 T"
"36","CD4 T"
"37","CD4 T"
"38","CD4 T"
"39","CD4 T"
"40","CD4 T"
"41","CD4 T"
"42","CD4 T"
"43","other T"
"44","CD4 T"
"45","CD4 T"
"46","CD4 T"
"47","CD4 T"
"48","other T"
"49","CD8 T"
"50","other T"
"51","CD8 T"
"52","CD4 T"
"53","CD4 T"
"54","CD4 T"
"55","NK"
"56","CD4 T"
"57","CD8 T"
"58","CD8 T"
"59","other"
"60","DC"
"61","CD8 T"
"62","CD4 T"
"63","CD4 T"
"64","CD4 T"
"65","CD4 T"
"66","CD4 T"
"67","CD4 T"
"68","CD4 T"
"69","CD4 T"
"70","CD8 T"
"71","CD4 T"
"72","CD4 T"
"73","CD4 T"
"74","CD8 T"
"75","CD8 T"
"76","CD4 T"
"77","other"
"78","CD4 T"
"79","CD4 T"
"80","CD4 T"
"81","CD4 T"
"82","CD4 T"
"83","CD4 T"
"84","NK"
"85","CD8 T"
"86","CD4 T"
"87","CD4 T"
"88","CD8 T"
"89","CD8 T"
"90","other T"
"91","CD4 T"
"92","CD8 T"
"93","CD8 T"
"94","CD4 T"
"95","NK"
"96","CD4 T"
"97","CD4 T"
"98","other T"
"99","CD4 T"
"100","CD4 T"
"101","CD4 T"
"102","CD4 T"
"103","CD4 T"
"104","CD4 T"
"105","NK"
"106","CD4 T"
"107","CD4 T"
"108","CD4 T"
"109","NK"
"110","CD4 T"
"111","NK"
"112","other T"
"113","CD4 T"
"114","CD8 T"
"115","CD4 T"
"116","CD8 T"
"117","CD4 T"
"118","other T"
"119","NK"
"120","DC"
"121","CD4 T"
"122","CD4 T"
"123","NK"
"124","CD4 T"
"125","CD4 T"
"126","CD8 T"
"127","CD8 T"
"128","CD4 T"
"129","CD4 T"
"130","CD8 T"
"131","other T"
"132","NK"
"133","CD4 T"
"134","CD4 T"
"135","CD8 T"
"136","CD4 T"
"137","NK"
"138","CD4 T"
"139","CD4 T"
"140","CD4 T"
"141","CD4 T"
"142","CD4 T"
"143","CD4 T"
"144","other T"
"145","CD4 T"
"146","CD4 T"
"147","Mono"
"148","other T"
"149","CD4 T"
"150","CD4 T"
"151","CD4 T"
"152","CD4 T"
"153","other"
"154","CD4 T"
"155","CD8 T"
"156","CD4 T"
"157","CD4 T"
"158","CD8 T"
"159","CD4 T"
"160","DC"
"161","CD4 T"
"162","CD4 T"
"163","CD4 T"
"164","other T"
"165","other T"
"166","other T"
"167","CD4 T"
"168","CD4 T"
"169","CD4 T"
"170","NK"
"171","CD4 T"
"172","CD4 T"
"173","CD4 T"
"174","CD4 T"
"175","CD8 T"
"176","CD4 T"
"177","CD8 T"
"178","CD4 T"
"179","CD4 T"
"180","CD4 T"
"181","CD4 T"
"182","NK"
"183","CD8 T"
"184","CD4 T"
"185","CD8 T"
"186","NK"
"187","CD4 T"
"188","NK"
"189","CD4 T"
"190","Mono"
"191","CD4 T"
"192","CD4 T"
"193","CD4 T"
"194","CD4 T"
"195","CD8 T"
"196","CD4 T"
"197","CD8 T"
"198","CD8 T"
"199","CD4 T"
"200","CD4 T"
"201","other"
"202","CD4 T"
"203","CD4 T"
"204","CD4 T"
"205","CD4 T"
"206","CD4 T"
"207","CD4 T"
"208","CD8 T"
"209","other T"
"210","CD8 T"
"211","CD4 T"
"212","CD4 T"
"213","CD4 T"
"214","CD4 T"
"215","CD8 T"
"216","CD4 T"
"217","CD8 T"
"218","CD4 T"
"219","CD4 T"
"220","other T"
"221","CD4 T"
"222","CD8 T"
"223","CD4 T"
"224","CD8 T"
"225","CD4 T"
"226","other T"
"227","CD4 T"
"228","CD4 T"
"229","CD4 T"
"230","CD4 T"
"231","CD4 T"
"232","CD4 T"
"233","CD4 T"
"234","CD4 T"
"235","NK"
"236","CD4 T"
"237","CD4 T"
"238","CD4 T"
"239","CD4 T"
"240","DC"
"241","CD4 T"
"242","CD8 T"
"243","DC"
"244","CD4 T"
"245","NK"
"246","CD4 T"
"247","CD4 T"
"248","CD4 T"
"249","CD8 T"
"250","CD4 T"
"251","CD4 T"
"252","CD4 T"
"253","CD4 T"
"254","CD8 T"
"255","CD8 T"
"256","CD4 T"
"257","CD4 T"
"258","CD4 T"
"259","NK"
"260","CD4 T"
"261","CD4 T"
"262","CD8 T"
"263","CD4 T"
"264","CD4 T"
"265","CD4 T"
"266","CD4 T"
"267","CD4 T"
"268","CD4 T"
"269","CD4 T"
"270","CD4 T"
"271","CD4 T"
"272","CD8 T"
"273","CD8 T"
"274","CD4 T"
"275","CD4 T"
"276","CD4 T"
"277","CD4 T"
"278","CD8 T"
"279","other T"
"280","CD4 T"
"281","CD4 T"
"282","other T"
"283","NK"
"284","CD4 T"
"285","CD8 T"
"286","CD4 T"
