"","x"
"1","MAIT"
"2","CD8 TEM_6"
"3","B naive kappa"
"4","MAIT"
"5","B naive kappa"
"6","CD4 Naive"
"7","NK_2"
"8","Eryth"
"9","Eryth"
"10","CD4 TCM_1"
"11","CD4 Naive"
"12","B naive kappa"
"13","CD4 Naive"
"14","CD8 TEM_6"
"15","Eryth"
"16","CD8 TEM_6"
"17","MAIT"
"18","Eryth"
"19","CD14 Mono"
"20","CD14 Mono"
"21","CD4 TCM_3"
"22","CD4 TCM_1"
"23","B naive kappa"
"24","CD4 Naive"
"25","Eryth"
"26","B naive kappa"
"27","CD8 TEM_6"
"28","CD4 Naive"
"29","CD4 TCM_3"
"30","CD8 Naive"
"31","CD4 Naive"
"32","CD4 Naive"
"33","CD4 Naive"
"34","NK_4"
"35","CD8 TEM_6"
"36","CD4 Naive"
"37","B naive kappa"
"38","ILC"
"39","CD4 TCM_1"
"40","CD4 Naive"
"41","CD4 Naive"
"42","Eryth"
"43","B naive kappa"
"44","B naive kappa"
"45","Eryth"
"46","B naive kappa"
"47","B naive kappa"
"48","CD4 Naive"
"49","CD4 Naive"
"50","CD4 Naive"
"51","HSPC"
"52","CD4 Naive"
"53","CD4 TCM_3"
"54","HSPC"
"55","CD4 Naive"
"56","pDC"
"57","CD16 Mono"
"58","CD8 Naive"
"59","B naive kappa"
"60","Eryth"
"61","CD4 TCM_1"
"62","Eryth"
"63","CD4 TCM_1"
"64","CD4 Naive"
"65","Eryth"
"66","CD14 Mono"
"67","CD4 Naive"
"68","CD8 TEM_2"
"69","CD8 TEM_6"
"70","CD4 Naive"
"71","CD4 Naive"
"72","MAIT"
"73","CD8 TEM_2"
"74","B naive kappa"
"75","CD4 Naive"
"76","MAIT"
"77","MAIT"
"78","CD4 Naive"
"79","Eryth"
"80","CD8 TEM_2"
"81","CD4 TCM_3"
"82","Eryth"
"83","Treg Memory"
"84","CD4 Naive"
"85","pDC"
"86","CD4 Naive"
"87","CD8 TEM_2"
"88","NK_2"
"89","B naive kappa"
"90","CD4 TCM_3"
"91","B naive kappa"
"92","MAIT"
"93","CD4 Naive"
"94","B naive kappa"
"95","MAIT"
"96","CD4 TCM_3"
"97","CD4 TCM_1"
"98","CD8 Naive"
"99","Eryth"
"100","CD4 Naive"
"101","CD8 TEM_6"
"102","B naive kappa"
"103","CD4 Naive"
"104","CD8 Naive"
"105","CD4 TCM_1"
"106","CD4 TCM_1"
"107","CD4 Naive"
"108","CD4 Naive"
"109","CD4 Naive"
"110","CD8 TEM_6"
"111","CD4 Naive"
"112","Treg Memory"
"113","MAIT"
"114","CD4 TCM_1"
"115","CD4 Naive"
"116","Eryth"
"117","CD4 TCM_3"
"118","NK_2"
"119","CD4 Naive"
"120","CD4 TCM_1"
"121","CD4 TCM_1"
"122","CD8 Naive"
"123","CD4 TCM_1"
"124","CD8 TEM_1"
"125","B naive kappa"
"126","B naive kappa"
"127","CD4 TCM_1"
"128","CD4 TCM_3"
"129","NK_2"
"130","CD8 TEM_2"
"131","CD4 Naive"
"132","NK_2"
"133","CD4 Naive"
"134","CD4 TCM_3"
"135","Eryth"
"136","B naive kappa"
"137","CD8 TEM_1"
"138","CD4 Naive"
"139","CD4 Naive"
"140","CD8 TEM_2"
"141","CD4 Naive"
"142","B intermediate kappa"
"143","CD4 Naive"
"144","Eryth"
"145","CD8 TEM_6"
"146","B naive kappa"
"147","CD4 Naive"
"148","CD4 Naive"
"149","B naive kappa"
"150","Eryth"
"151","CD4 Naive"
"152","CD4 Naive"
"153","CD4 Naive"
"154","CD4 TCM_3"
"155","CD4 TCM_3"
"156","CD4 TCM_1"
"157","MAIT"
"158","B naive kappa"
"159","B naive kappa"
"160","CD8 Naive"
"161","Platelet"
"162","B naive kappa"
"163","NK_2"
"164","B intermediate kappa"
"165","CD8 TEM_6"
"166","NK_2"
"167","B memory lambda"
"168","B naive kappa"
"169","MAIT"
"170","CD4 Naive"
"171","CD4 Naive"
"172","Eryth"
"173","B naive kappa"
"174","B naive kappa"
"175","CD4 Naive"
"176","CD4 TCM_1"
"177","CD4 Naive"
"178","CD4 Naive"
"179","CD4 TCM_3"
"180","CD4 Naive"
"181","NK_2"
"182","CD4 Naive"
"183","MAIT"
"184","CD4 TCM_1"
"185","CD4 TCM_3"
"186","B naive kappa"
"187","CD4 Naive"
"188","CD4 TCM_3"
"189","CD4 Naive"
"190","CD4 Naive"
"191","B naive kappa"
"192","CD4 Naive"
"193","B intermediate kappa"
"194","CD8 TEM_6"
"195","MAIT"
"196","ILC"
"197","CD8 TEM_2"
"198","NK_2"
"199","CD14 Mono"
"200","CD8 Naive"
"201","CD4 TCM_1"
"202","CD4 Naive"
"203","Eryth"
"204","CD4 Naive"
"205","NK_2"
"206","CD4 Naive"
"207","CD4 Naive"
"208","CD8 TEM_6"
"209","CD4 TCM_3"
"210","CD4 Naive"
"211","CD4 Naive"
"212","CD4 TCM_1"
"213","B naive kappa"
"214","CD4 Naive"
"215","CD4 Naive"
"216","CD16 Mono"
"217","MAIT"
"218","CD8 TEM_6"
"219","CD4 TCM_3"
"220","CD4 Naive"
"221","CD4 TCM_1"
"222","CD4 Naive"
"223","ILC"
"224","NK_4"
"225","CD4 Naive"
"226","CD4 Naive"
