,x
1,Prog_RBC
2,CD4 Memory
3,CD4 Naive
4,CD4 Memory
5,CD14 Mono
6,Naive B
7,CD8 Naive
8,CD14 Mono
9,Naive B
10,CD8 Naive
11,CD4 Naive
12,CD8 Naive
13,CD8 Naive
14,CD4 Naive
15,CD8 Effector_2
16,CD14 Mono
17,CD8 Effector_2
18,CD4 Memory
19,CD4 Naive
20,CD4 Naive
21,CD4 Naive
22,NK
23,CD8 Naive
24,CD4 Naive
25,GMP
26,GMP
27,CD4 Memory
28,CD14 Mono
29,cDC2
30,CD8 Naive
31,CD14 Mono
32,CD4 Memory
33,CD16 Mono
34,GMP
35,GMP
36,CD14 Mono
37,CD4 Memory
38,CD14 Mono
39,CD4 Memory
40,CD4 Naive
41,cDC2
42,CD4 Memory
43,CD8 Memory_1
44,CD4 Naive
45,CD8 Effector_1
46,CD4 Naive
47,CD8 Naive
48,pDC
49,CD14 Mono
50,CD14 Mono
51,CD4 Naive
52,CD16 Mono
53,CD4 Naive
54,MAIT
55,Memory B
56,CD14 Mono
57,CD4 Naive
58,CD14 Mono
59,CD4 Memory
60,Naive B
61,CD8 Naive
62,CD8 Naive
63,CD4 Memory
64,CD14 Mono
65,MAIT
66,CD8 Effector_2
67,CD4 Memory
68,cDC2
69,CD4 Memory
70,MAIT
71,CD4 Memory
72,NK
73,Naive B
74,NK
75,CD4 Naive
76,CD14 Mono
77,cDC2
78,CD4 Naive
79,CD4 Memory
80,GMP
81,CD14 Mono
82,CD4 Naive
83,Naive B
84,NK
85,CD14 Mono
86,CD8 Memory_1
87,CD4 Memory
88,CD4 Memory
89,CD14 Mono
90,CD4 Naive
91,Memory B
92,CD4 Naive
93,CD4 Memory
94,CD8 Naive
95,CD14 Mono
96,CD4 Memory
97,CD4 Naive
98,CD8 Memory_1
99,pDC
100,Memory B
101,CD4 Memory
102,GMP
103,CD8 Naive
104,CD14 Mono
105,CD4 Naive
106,CD4 Memory
107,CD14 Mono
108,CD4 Naive
109,CD4 Memory
110,CD14 Mono
111,CD8 Naive
112,CD4 Naive
113,CD4 Naive
114,CD4 Naive
115,NK
116,CD4 Memory
117,CD8 Effector_1
118,CD4 Naive
119,Memory B
120,pDC
121,CD4 Memory
122,CD14 Mono
123,Prog_B 2
124,MAIT
125,CD8 Naive
126,cDC2
127,CD8 Naive
128,CD14 Mono
129,CD4 Memory
130,Naive B
131,NK
132,Memory B
133,Prog_RBC
134,Prog_RBC
135,Naive B
136,CD14 Mono
137,CD4 Naive
138,Plasmablast
139,MAIT
140,CD14 Mono
141,Memory B
142,CD4 Memory
143,CD8 Effector_1
144,CD14 Mono
145,CD14 Mono
146,NK
147,NK
148,CD14 Mono
149,CD14 Mono
150,CD4 Naive
151,GMP
152,CD4 Naive
153,CD14 Mono
154,CD8 Naive
155,CD14 Mono
156,CD4 Memory
157,CD8 Naive
158,CD4 Naive
159,cDC2
160,gdT
161,CD4 Memory
162,CD8 Memory_2
163,Naive B
164,CD14 Mono
165,CD14 Mono
166,Plasmablast
167,CD4 Memory
