,x
1,CD8 T
2,Mono
3,CD4 T
4,CD8 T
5,Progenitor
6,NK
7,CD8 T
8,NK
9,CD8 T
10,Mono
11,CD8 T
12,CD8 T
13,B
14,CD4 T
15,B
16,CD4 T
17,Progenitor
18,CD4 T
19,CD4 T
20,CD8 T
21,DC
22,Mono
23,CD4 T
24,B
25,Mono
26,CD4 T
27,Mono
28,CD4 T
29,Progenitor
30,CD4 T
31,B
32,CD8 T
33,Progenitor
34,Mono
35,B
36,Progenitor
37,CD8 T
38,CD4 T
39,B
40,B
41,CD4 T
42,CD4 T
43,CD8 T
44,CD4 T
45,CD4 T
46,B
47,Mono
48,CD4 T
49,CD4 T
50,Mono
51,Progenitor
52,CD8 T
53,B
54,Progenitor
55,Mono
56,B
57,CD4 T
58,CD8 T
59,B
60,Progenitor
61,CD4 T
62,CD4 T
63,Mono
64,Mono
65,CD4 T
66,CD4 T
67,Mono
68,CD4 T
69,B
70,B
71,CD8 T
72,CD4 T
73,CD8 T
74,CD8 T
75,CD8 T
76,CD4 T
77,CD4 T
78,CD4 T
79,CD8 T
80,B
81,other T
82,CD4 T
83,Progenitor
84,CD4 T
85,CD4 T
86,CD4 T
87,CD4 T
88,Progenitor
89,Mono
90,CD8 T
91,CD8 T
92,B
93,B
94,B
95,Mono
96,B
97,B
98,Mono
99,B
100,CD4 T
101,CD8 T
102,CD4 T
103,Progenitor
104,Progenitor
105,CD4 T
106,CD4 T
107,Progenitor
108,B
109,B
110,B
111,B
112,CD4 T
113,CD4 T
114,CD4 T
115,CD8 T
116,Mono
117,B
118,CD4 T
119,B
120,CD4 T
121,CD4 T
122,CD8 T
123,CD4 T
124,Mono
125,Mono
126,CD4 T
127,Progenitor
128,B
129,B
130,CD4 T
131,CD4 T
132,Mono
133,B
134,other T
135,CD8 T
136,CD8 T
137,CD4 T
138,B
139,Mono
140,CD8 T
141,CD4 T
142,CD4 T
143,Progenitor
144,Mono
145,CD4 T
146,CD4 T
147,CD4 T
148,NK
149,CD8 T
150,CD4 T
151,CD4 T
152,CD8 T
153,CD8 T
154,CD8 T
155,CD8 T
156,B
157,Progenitor
158,B
159,Mono
160,CD4 T
161,CD4 T
162,CD4 T
163,CD4 T
164,Progenitor
165,B
166,Progenitor
167,CD8 T
168,CD4 T
169,CD4 T
170,Progenitor
171,Progenitor
172,Mono
173,CD4 T
174,Progenitor
175,DC
176,CD4 T
